year,horizon,seed,feature_set,train_window,train_rows,valid_rows,refit_rows,test_rows,best_epoch,best_valid_ic,test_ic,test_spread,refit_final_loss,clip_lo,clip_hi,run
2024,20,42424,all,expanding,128540,10900,140490,12100,35,0.0740290867076864,0.0315319301985103,0.009006384301018,0.6615244927613632,-0.174796313047409,0.4286563694477081,v5_4b_repaired_h20_seed42424_20260829_162625
2025,20,42424,all,expanding,140490,11050,152590,12150,1,0.0680503735420335,0.1270250322351162,0.0518027053757276,0.7657498788833618,-0.1791461855173111,0.3991438746452331,v5_4b_repaired_h20_seed42424_20260829_162625
2026,20,42424,all,expanding,152590,11100,164740,6900,1,0.1349404626715551,0.0939885519759353,0.0685433732774085,0.7544522528295163,-0.1806980967521667,0.3842253684997558,v5_4b_repaired_h20_seed42424_20260829_162625
2018,20,13579,all,expanding,55678,10878,67585,12226,5,0.0425158659906049,0.065311649616254,0.0113643777958033,0.6905189969322898,-0.1552808582782745,0.7390825152397156,v5_4b_repaired_h20_seed13579_20260829_162824
2019,20,13579,all,expanding,67585,11176,79790,12050,1,0.1073806857427679,0.0218663251197237,0.0017595924567571,0.8050876626601586,-0.1627968847751617,0.7242862582206726,v5_4b_repaired_h20_seed13579_20260829_162824
2020,20,13579,all,expanding,79790,11000,91840,12250,40,0.0438863531172078,0.0812071440821226,0.0154995983454618,0.6572586019833883,-0.1599200069904327,0.6954249143600464,v5_4b_repaired_h20_seed13579_20260829_162824
2021,20,13579,all,expanding,91840,11200,104090,12150,10,0.1062202023666609,0.072696190003887,0.0366796166210212,0.6858724916682524,-0.1662531495094299,0.5463051795959473,v5_4b_repaired_h20_seed13579_20260829_162824
2022,20,13579,all,expanding,104090,11100,116240,12300,5,0.089809371942135,0.0580386551233026,0.0149299015928464,0.6891344032789531,-0.175417959690094,0.5726451873779297,v5_4b_repaired_h20_seed13579_20260829_162824
2023,20,13579,all,expanding,116240,11250,128540,11950,20,0.0976817613660828,0.0253581180209461,0.0087711438073595,0.6804348145212445,-0.1767710298299789,0.4736236035823822,v5_4b_repaired_h20_seed13579_20260829_162824
2024,20,13579,all,expanding,128540,10900,140490,12100,25,0.0745599260406803,0.0205573647833908,-0.0001363140634936,0.6738984403402909,-0.174796313047409,0.4286563694477081,v5_4b_repaired_h20_seed13579_20260829_162824
2025,20,13579,all,expanding,140490,11050,152590,12150,1,0.0828854903903023,0.0913315449636645,0.0281798567425362,0.7280471801757813,-0.1791461855173111,0.3991438746452331,v5_4b_repaired_h20_seed13579_20260829_162824
2026,20,13579,all,expanding,152590,11100,164740,6900,5,0.1252314980046072,0.0945254384724569,0.0707670818520124,0.6904832853211297,-0.1806980967521667,0.3842253684997558,v5_4b_repaired_h20_seed13579_20260829_162824
2018,20,24680,all,expanding,55678,10878,67585,12226,10,0.0431281034425264,0.0508532196602875,0.0120639711175749,0.6872988505796953,-0.1552808582782745,0.7390825152397156,v5_4b_repaired_h20_seed24680_20260829_162831
2019,20,24680,all,expanding,67585,11176,79790,12050,25,0.0939019092812375,0.0101848772991545,-0.0036653209290146,0.6798780927291284,-0.1627968847751617,0.7242862582206726,v5_4b_repaired_h20_seed24680_20260829_162831
2020,20,24680,all,expanding,79790,11000,91840,12250,1,0.0504822479394642,0.1227796261361687,0.0354436794845408,0.8017451802889506,-0.1599200069904327,0.6954249143600464,v5_4b_repaired_h20_seed24680_20260829_162831
2021,20,24680,all,expanding,91840,11200,104090,12150,35,0.1045365288972731,0.0790590052791895,0.0338015337068736,0.6651214045636794,-0.1662531495094299,0.5463051795959473,v5_4b_repaired_h20_seed24680_20260829_162831
2022,20,24680,all,expanding,104090,11100,116240,12300,5,0.0927367978783774,0.0330379888573472,0.0064283207299019,0.6903979935144123,-0.175417959690094,0.5726451873779297,v5_4b_repaired_h20_seed24680_20260829_162831
2023,20,24680,all,expanding,116240,11250,128540,11950,10,0.0953243483277556,0.0476665789309348,0.0192787833944772,0.6878611445426941,-0.1767710298299789,0.4736236035823822,v5_4b_repaired_h20_seed24680_20260829_162831
2024,20,24680,all,expanding,128540,10900,140490,12100,30,0.072840247215039,0.0041945310492243,-0.0018638778752637,0.6710197174030802,-0.174796313047409,0.4286563694477081,v5_4b_repaired_h20_seed24680_20260829_162831
2025,20,24680,all,expanding,140490,11050,152590,12150,5,0.0399495821661625,0.1204386939961169,0.0438840302707859,0.690948576927185,-0.1791461855173111,0.3991438746452331,v5_4b_repaired_h20_seed24680_20260829_162831
