horizon,feature_set,train_window,year,seeds,ic_mean,ic_median,ic_std,spread_mean
10,no_volatility,expanding,2026,16,0.05637398371315981,0.05602310459169,0.014350423520214763,0.027620632268283152
20,all,3,2018,16,0.05517047959308567,0.05837508156368725,0.019129510877764187,0.013372649507653375
20,all,3,2019,16,-0.010180946031042776,-0.0064066748115652,0.03989125097901659,-0.004314967316665975
20,all,3,2020,16,0.07240014094125041,0.07850317269765045,0.034564101182350544,0.022290439293695837
20,all,3,2021,16,0.04618217001373877,0.046628086216286696,0.007011032114707736,0.032451255068756624
20,all,3,2022,16,0.01566245019126757,0.014684232830594151,0.02176248647627002,0.007396884992506744
20,all,3,2023,16,0.010213037564442556,0.0097793962290178,0.026045928337188457,0.00018154812049066794
20,all,3,2024,16,-0.03881995688934575,-0.0420219054865813,0.029019501114386018,-0.009396091683310594
20,all,3,2025,16,0.02401573025904574,0.02640917524034405,0.024345430667360692,0.005707657098532423
20,all,3,2026,16,0.09188087685106633,0.0956360398207005,0.0391345860561808,0.05857266063598514
20,all,5,2018,16,0.049241079504482664,0.050574448838163144,0.01195733881902338,0.012571758105007425
20,all,5,2019,16,-0.024268892968466533,-0.00154194451228215,0.058305141114735004,-0.009275286033385637
20,all,5,2020,16,0.08309692040081335,0.07262660166107254,0.05312280140645745,0.024901282605824738
20,all,5,2021,16,0.04626623452426798,0.054415005371550654,0.025745660999970037,0.027147382564888356
20,all,5,2022,16,0.025328245610913912,0.023024936310230802,0.016159405909200085,0.008106669328455975
20,all,5,2023,16,0.02642128052512463,0.03421869168106615,0.02633984866627714,0.006783955791826425
20,all,5,2024,16,-0.029093192127228433,-0.0364644697453035,0.03563147648607517,-0.00469735810652238
20,all,5,2025,16,0.08023637554195227,0.0788195608822041,0.02687039525651424,0.028735026911970368
20,all,5,2026,16,0.07658734473913535,0.0908186606708602,0.042324967241328,0.05932943831151813
20,all,8,2018,16,0.04817468817823093,0.0486017672027516,0.015935703429011374,0.014861344695279019
20,all,8,2019,16,0.012623115326427032,0.018913131616710002,0.041811557002970616,-0.0021602532877508813
20,all,8,2020,16,0.07709082000146993,0.0794131856824362,0.02804041341035645,0.02266505102355358
20,all,8,2021,16,0.06081581099393566,0.0601886517184542,0.018250684924186807,0.02951057081351588
20,all,8,2022,16,0.06561292736003695,0.06093170452200325,0.018919746412327573,0.016042354832546995
20,all,8,2023,16,0.05182202515585483,0.05048664331442975,0.013968772690078984,0.016185961187387736
20,all,8,2024,16,-0.002452907874865675,0.0017323419775579498,0.024792105011715283,-0.0027276048780124186
20,all,8,2025,16,0.06541743970315396,0.08197672457412711,0.05004708998066387,0.023174159858367252
20,all,8,2026,16,0.05939172442565927,0.0553053073741425,0.03499667467119055,0.05092512094394804
20,all,expanding,2018,16,0.04817468817823093,0.0486017672027516,0.015935703429011374,0.014861344695279019
20,all,expanding,2019,16,0.012623115326427032,0.018913131616710002,0.041811557002970616,-0.0021602532877508813
20,all,expanding,2020,16,0.07709082000146993,0.0794131856824362,0.02804041341035645,0.02266505102355358
20,all,expanding,2021,16,0.062206414416319994,0.06785839217898765,0.01959666026377103,0.030047707205302244
20,all,expanding,2022,16,0.06627476652434869,0.0703461135840574,0.020516398666742847,0.015848531562929112
20,all,expanding,2023,16,0.044889841472908885,0.04247136371709505,0.018745696373812026,0.01094108237745623
20,all,expanding,2024,16,0.0009205925267845244,-0.0070799844708799,0.02922770032597084,-0.001730371266207256
20,all,expanding,2025,16,0.07875537058981856,0.08132906054983971,0.03882166353434907,0.028159501604414792
20,all,expanding,2026,16,0.09199608909024468,0.09035951403556,0.01324918505488273,0.06967272223472236
20,no_absolute_returns,3,2018,16,0.055316918377051806,0.05662582115642925,0.00995621293850938,0.014713316055327294
20,no_absolute_returns,3,2019,16,-0.013307969236176586,0.0021826360626319005,0.04282677783788386,-0.005466881052587068
20,no_absolute_returns,3,2020,16,0.08405249042096817,0.0732853467917779,0.02969445530077822,0.02639056752425535
20,no_absolute_returns,3,2021,16,0.03559592136974379,0.0404916263177138,0.018138686699010045,0.03315629120272918
20,no_absolute_returns,3,2022,16,0.018113365135306585,0.0174176136842862,0.013494940476956424,0.008053232215080494
20,no_absolute_returns,3,2023,16,0.014963874227413824,0.01509557176628285,0.014032374212010075,0.0033116909513787435
20,no_absolute_returns,3,2024,16,-0.062163932467839196,-0.0657015341611367,0.01849839444553518,-0.012838581104948019
20,no_absolute_returns,3,2025,16,0.027106346670899725,0.02977389302828565,0.03893425429077316,0.007032272606255818
20,no_absolute_returns,3,2026,16,0.08535508120660484,0.08680506527959514,0.029550623845827597,0.0550765671170665
